дата;открытие;закрытие;мин;макс
27/09/18;116110;116160;116110;116180
27/09/18;116160;116090;116090;116210
27/09/18;116090;116020;116020;116150
27/09/18;116020;116030;116010;116080
27/09/18;116040;116060;116030;116080
27/09/18;116060;116010;116010;116140
27/09/18;116010;116010;116010;116060
27/09/18;116010;116000;116000;116030
27/09/18;116000;116050;115980;116060
27/09/18;116040;116020;115990;116040
27/09/18;116020;115980;115980;116050
27/09/18;115970;115980;115920;116000
27/09/18;115990;116030;115960;116040
27/09/18;116020;116010;115920;116030
27/09/18;116010;116060;116000;116090
27/09/18;116060;116000;116000;116080
27/09/18;116010;116000;115990;116060
27/09/18;115990;116010;115990;116040
27/09/18;116010;115910;115890;116020
27/09/18;115910;115970;115890;115970
27/09/18;115970;115940;115910;115970
27/09/18;115930;115980;115930;116000
27/09/18;115990;116030;115980;116050
27/09/18;116030;116010;116000;116050
27/09/18;116020;116010;115990;116070
27/09/18;116010;116050;115980;116070
27/09/18;116060;116050;115990;116060
27/09/18;116030;116050;116030;116080
27/09/18;116040;116030;116030;116050
27/09/18;116030;116100;116030;116120
27/09/18;116090;116050;116040;116100
27/09/18;116060;116090;116050;116120
27/09/18;116100;116110;116090;116120
27/09/18;116120;116130;116090;116140
27/09/18;116120;116080;116080;116120
27/09/18;116080;116130;116080;116150
27/09/18;116130;116110;116090;116150
27/09/18;116120;116090;116060;116120
27/09/18;116100;116100;116070;116120
27/09/18;116100;116100;116080;116140
27/09/18;116110;116080;116080;116110
27/09/18;116080;116080;116040;116090
27/09/18;116070;116040;116040;116070
27/09/18;116030;116040;116030;116080
27/09/18;116060;116030;116030;116070
27/09/18;116030;115990;115990;116030
27/09/18;115990;115960;115940;116010
27/09/18;115970;115980;115950;116010
27/09/18;115980;115990;115980;116020
27/09/18;115990;115970;115950;115990
27/09/18;115970;116030;115960;116030
27/09/18;116030;116000;115990;116030
27/09/18;116000;116000;115970;116010
27/09/18;116000;115960;115960;116000
27/09/18;115960;115990;115950;115990
27/09/18;115990;115990;115980;116000
27/09/18;115990;115970;115970;116020
27/09/18;115980;115940;115900;115990
27/09/18;115950;115950;115940;115970
27/09/18;115970;115960;115940;115970
27/09/18;115930;115910;115910;115930
27/09/18;115920;115900;115890;115940
27/09/18;115910;115930;115850;115930
27/09/18;115940;115930;115920;115940
27/09/18;115930;115890;115890;115930
27/09/18;115900;115940;115890;115940
27/09/18;115930;116000;115920;116000
27/09/18;116010;116080;115990;116090
27/09/18;116070;116050;116030;116120
27/09/18;116060;116000;116000;116070
27/09/18;116000;116060;116000;116110
27/09/18;116060;116110;116060;116150
27/09/18;116100;116160;116090;116160
27/09/18;116160;116280;116140;116340
27/09/18;116280;116220;116220;116290
27/09/18;116230;116300;116230;116310
27/09/18;116300;116240;116230;116340
27/09/18;116240;116230;116210;116280
27/09/18;116220;116120;116110;116220
27/09/18;116130;116160;116120;116180
27/09/18;116180;116210;116170;116250
27/09/18;116210;116180;116180;116240
27/09/18;116200;116220;116170;116260
27/09/18;116230;116230;116190;116250
27/09/18;116240;116220;116190;116250
27/09/18;116210;116260;116190;116330
27/09/18;116290;116370;116280;116440
27/09/18;116380;116350;116330;116420
27/09/18;116350;116310;116310;116360
27/09/18;116330;116340;116310;116350
27/09/18;116330;116340;116300;116350
27/09/18;116350;116390;116320;116390
27/09/18;116390;116360;116350;116440
27/09/18;116350;116330;116320;116390
27/09/18;116330;116400;116320;116410
27/09/18;116380;116400;116380;116430
27/09/18;116410;116340;116340;116410
27/09/18;116350;116340;116300;116360
27/09/18;116350;116320;116310;116370
27/09/18;116320;116340;116320;116340
27/09/18;116350;116330;116300;116350
27/09/18;116330;116370;116320;116370
27/09/18;116370;116360;116340;116380
27/09/18;116340;116370;116330;116370
27/09/18;116370;116340;116340;116390
27/09/18;116350;116350;116330;116360
27/09/18;116340;116280;116270;116350
27/09/18;116280;116320;116270;116330
27/09/18;116320;116310;116310;116350
27/09/18;116330;116310;116310;116330
27/09/18;116310;116350;116300;116350
27/09/18;116360;116340;116330;116370
27/09/18;116330;116350;116330;116360
27/09/18;116340;116350;116340;116380
27/09/18;116350;116330;116300;116360
27/09/18;116340;116550;116330;116560
27/09/18;116540;116510;116490;116610
27/09/18;116510;116480;116470;116530
27/09/18;116480;116540;116470;116560
27/09/18;116530;116550;116530;116600
27/09/18;116550;116550;116530;116570
27/09/18;116560;116640;116560;116660
27/09/18;116640;116650;116610;116680
27/09/18;116660;116710;116640;116810
27/09/18;116720;116700;116640;116740
27/09/18;116710;116720;116700;116740
27/09/18;116730;116730;116710;116740
27/09/18;116720;116670;116670;116730
27/09/18;116670;116650;116600;116700
27/09/18;116660;116700;116650;116710
27/09/18;116700;116690;116660;116720
27/09/18;116690;116690;116680;116730
27/09/18;116690;116690;116680;116700
27/09/18;116690;116680;116680;116700
27/09/18;116680;116730;116670;116740
27/09/18;116730;116770;116720;116780
27/09/18;116770;116760;116760;116850
27/09/18;116760;116810;116750;116810
27/09/18;116810;116800;116790;116850
27/09/18;116810;116860;116790;116870
27/09/18;116860;116810;116810;116930
27/09/18;116830;116900;116830;116900
27/09/18;116900;116900;116860;116920
27/09/18;116900;116880;116880;116920
27/09/18;116880;116770;116770;116880
27/09/18;116780;116810;116770;116820
27/09/18;116810;116780;116760;116810
27/09/18;116790;116790;116780;116840
27/09/18;116790;116780;116770;116820
27/09/18;116800;116800;116780;116810
27/09/18;116800;116870;116800;116870
27/09/18;116870;116840;116820;116880
27/09/18;116850;116850;116830;116870
27/09/18;116850;116830;116810;116860
27/09/18;116820;116780;116770;116820
27/09/18;116780;116780;116760;116790
27/09/18;116770;116760;116750;116780
27/09/18;116760;116780;116740;116780
27/09/18;116780;116790;116770;116820
27/09/18;116770;116760;116730;116780
27/09/18;116750;116740;116710;116760
27/09/18;116750;116710;116670;116750
27/09/18;116690;116640;116620;116710
27/09/18;116630;116710;116630;116720
27/09/18;116710;116680;116630;116710
27/09/18;116670;116690;116670;116730
27/09/18;116680;116710;116680;116750
27/09/18;116720;116700;116690;116740
27/09/18;116700;116740;116700;116750
27/09/18;116740;116760;116740;116770
27/09/18;116750;116740;116730;116760
27/09/18;116730;116720;116710;116770
27/09/18;116720;116730;116700;116740
27/09/18;116740;116730;116700;116750
27/09/18;116730;116700;116620;116730
27/09/18;116690;116690;116660;116710
27/09/18;116700;116710;116700;116740
27/09/18;116700;116720;116700;116730
27/09/18;116730;116770;116710;116780
27/09/18;116750;116780;116740;116790
27/09/18;116780;116790;116780;116830
27/09/18;116780;116770;116740;116780
27/09/18;116740;116750;116720;116770
27/09/18;116750;116700;116700;116750
27/09/18;116700;116690;116680;116730
27/09/18;116690;116640;116640;116710
27/09/18;116640;116610;116610;116670
27/09/18;116620;116650;116560;116660
27/09/18;116640;116690;116640;116690
27/09/18;116690;116710;116680;116720
27/09/18;116700;116680;116650;116710
27/09/18;116680;116680;116670;116730
27/09/18;116680;116720;116670;116730
27/09/18;116720;116750;116670;116760
27/09/18;116750;116740;116710;116750
27/09/18;116750;116740;116730;116780
27/09/18;116750;116710;116710;116770
27/09/18;116710;116690;116680;116730
27/09/18;116690;116680;116660;116720
27/09/18;116680;116670;116630;116690
27/09/18;116650;116700;116650;116710
27/09/18;116700;116690;116670;116750
27/09/18;116690;116670;116660;116710
27/09/18;116680;116610;116600;116680
27/09/18;116620;116660;116600;116660
27/09/18;116650;116640;116620;116680
27/09/18;116640;116680;116640;116680
27/09/18;116680;116710;116670;116720
27/09/18;116710;116730;116700;116740
27/09/18;116720;116730;116700;116770
27/09/18;116720;116680;116680;116730
27/09/18;116680;116710;116680;116730
27/09/18;116720;116740;116700;116760
27/09/18;116740;116740;116710;116810
27/09/18;116730;116760;116720;116780
27/09/18;116780;116820;116780;116830
27/09/18;116830;116830;116800;116850
27/09/18;116830;116830;116820;116850
27/09/18;116830;116840;116810;116850
27/09/18;116820;116830;116820;116840
27/09/18;116830;116880;116820;116900
27/09/18;116870;116930;116860;116930
27/09/18;116910;116940;116890;116950
27/09/18;116940;116880;116880;116950
27/09/18;116880;116860;116840;116890
27/09/18;116860;116860;116860;116900
27/09/18;116860;116880;116850;116880
27/09/18;116860;116890;116860;116890
27/09/18;116890;116930;116870;116930
27/09/18;116930;116910;116880;116940
27/09/18;116920;116910;116900;116940
27/09/18;116920;116820;116810;116920
27/09/18;116820;116760;116760;116830
27/09/18;116770;116680;116620;116770
27/09/18;116690;116660;116650;116720
27/09/18;116670;116680;116620;116710
27/09/18;116690;116700;116680;116720
27/09/18;116710;116580;116560;116710
27/09/18;116590;116580;116560;116600
27/09/18;116570;116500;116450;116590
27/09/18;116500;116470;116410;116570
27/09/18;116460;116630;116450;116650
27/09/18;116630;116640;116600;116650
27/09/18;116640;116660;116620;116670
27/09/18;116660;116710;116650;116740
27/09/18;116700;116670;116630;116720
27/09/18;116680;116720;116660;116730
27/09/18;116710;116740;116650;116740
27/09/18;116740;116730;116710;116770
27/09/18;116730;116680;116670;116730
27/09/18;116680;116670;116640;116700
27/09/18;116690;116690;116670;116700
27/09/18;116680;116560;116550;116690
27/09/18;116560;116620;116550;116650
27/09/18;116640;116670;116560;116670
27/09/18;116670;116640;116610;116670
27/09/18;116640;116720;116640;116740
27/09/18;116710;116740;116700;116780
27/09/18;116740;116730;116720;116750
27/09/18;116740;116770;116720;116780
27/09/18;116770;116710;116710;116780
27/09/18;116720;116780;116700;116820
27/09/18;116770;116830;116760;116830
27/09/18;116820;116760;116750;116820
27/09/18;116760;116800;116750;116800
27/09/18;116780;116690;116670;116790
27/09/18;116690;116710;116660;116720
27/09/18;116710;116590;116590;116710
27/09/18;116590;116630;116550;116640
27/09/18;116630;116700;116620;116700
27/09/18;116690;116680;116650;116690
27/09/18;116680;116650;116650;116700
27/09/18;116650;116610;116560;116660
27/09/18;116610;116610;116550;116620
27/09/18;116610;116570;116560;116620
27/09/18;116560;116540;116520;116580
27/09/18;116540;116590;116530;116610
27/09/18;116600;116550;116550;116610
27/09/18;116560;116570;116550;116610
27/09/18;116560;116550;116530;116560
27/09/18;116550;116550;116530;116580
27/09/18;116550;116630;116550;116660
27/09/18;116630;116640;116610;116670
27/09/18;116640;116630;116610;116650
27/09/18;116630;116640;116610;116650
27/09/18;116640;116690;116630;116690
27/09/18;116690;116720;116680;116760
27/09/18;116730;116790;116720;116790
27/09/18;116790;116800;116760;116800
27/09/18;116800;116790;116760;116820
27/09/18;116800;116780;116750;116810
27/09/18;116790;116780;116760;116820
27/09/18;116770;116790;116750;116800
27/09/18;116790;116760;116750;116800
27/09/18;116750;116780;116750;116790
27/09/18;116780;116790;116760;116800
27/09/18;116800;116800;116780;116820
27/09/18;116790;116730;116690;116820
27/09/18;116730;116780;116730;116790
27/09/18;116790;116790;116770;116810
27/09/18;116800;116790;116760;116800
27/09/18;116800;116800;116780;116810
27/09/18;116800;116800;116770;116800
27/09/18;116790;116860;116780;116870
27/09/18;116860;116830;116830;116870
27/09/18;116830;116860;116830;116880
27/09/18;116850;116770;116770;116870
27/09/18;116780;116740;116740;116800
27/09/18;116740;116780;116740;116790
27/09/18;116790;116800;116770;116800
27/09/18;116800;116780;116720;116810
27/09/18;116770;116820;116750;116820
27/09/18;116810;116750;116730;116810
27/09/18;116750;116740;116740;116800
27/09/18;116750;116790;116720;116800
27/09/18;116800;116760;116730;116800
27/09/18;116760;116790;116760;116800
27/09/18;116780;116820;116780;116840
27/09/18;116830;116800;116790;116890
27/09/18;116800;116790;116780;116810
27/09/18;116790;116760;116750;116810
27/09/18;116770;116790;116750;116790
